"zone_id","zone_name","zone_city","latitude","longitude","zoom","span","omit","description","start_date","end_date","allowed_to_process","allowed_to_spawn"
"1","University of Washington","Seattle","47.6537092442921","-122.306118143559","17","0.01","1","Main UW Zone","2009-01-01","2012-01-01","1","1"
"2","Cornell","Ithaca","42.448223","-76.482825","17","0.01","0","Main Cornell Zone","2009-01-01","2012-12-01","1","1"
"3","International District","Seattle","47.59761","-122.325706","18","0.01","0",,"2009-01-01","2012-01-01","1","1"
"4","UW Trial","Seattle","47.655714","-122.307788","17","0.01","1",,"2009-01-01","2012-01-01","1","1"
"5","Midtown","Manhattan","40.760577","-73.977106","16","0.01","0",,"2009-01-01","2012-01-01","1","1"
"6","Harlem","Manhattan","40.809501","-73.949897","17","0.01","1",,"2009-01-01","2012-01-01","1","1"
"7","National Mall","Washington DC","38.889609","-77.023476","17","0.01","0","Folklife Festival","2009-01-01","2012-01-01","1","0"
"8","UCSC","Santa Cruz","36.997493","-122.058002","17","0.01","1",,"2009-01-01","2012-01-01","1","1"
"9","Back Bay","Boston","42.349828","-71.076404","18","0.01","0",,"2009-01-01","2012-01-01","1","1"
"11","Grant Park","Chicago","41.8735","-87.6318","16","0.01","0",,"2009-01-01","2012-01-01","1","1"
"10","Red Square","Moscow","55.753573","37.621969","18","0.01","0",,"2009-01-01","2012-01-01","1","1"
"12","Undecided","Anywhere","0","0","2","0.2","1",,"0000-00-00","0000-00-00","0","1"
"13","Gasworks Park","Seattle","47.645799","-122.334934","19","0.01","0",,"2009-01-01","2012-01-01","1","1"
"14","Santa Barbara Mission","Santa Barbara","34.438287","-119.71388","18","0.01","0",,"2009-01-01","2012-01-01","1","1"
"15","Union Square","San Francisco","37.788945","-122.407365","18","0.01","1",,"2011-02-22","2011-03-22","1","1"
"18","Fremont","Seattle","47.650088","-122.348643","18","0.01","0","Android app testing grounds","2009-01-01","2012-01-01","1","1"
"16","University of Washington old","Seattle","47.6537092442921","-122.306118143559","18","0.01","0",,"2009-01-01","2012-01-01","1","1"
"17","Cornell old","Ithaca","42.446923","-76.482825","18","0.01","0",,"2009-01-01","2012-01-01","1","1"
"19","Old Town","Portland","45.524734","-122.672837","18","0.01","0",,"2009-01-01","2012-01-01","1","1"
"20","UCLA","Los Angeles","34.071942","-118.440067","17","0.01","0",,"2009-01-01","2012-01-01","1","1"
"21","Salem","Oregon","44.937638","-123.031089","18","0.01","0","Nathaneal's Captiol Building","2009-01-01","2012-01-01","1","1"
"22","University of Washington","Seattle","47.6537092442921","-122.306118143559","17","0.01","0","Round 1 of UW vs. Cornell Competition","2010-03-30","2010-04-20","0","1"
"23","Cornell","Ithaca","42.448223","-76.482825","17","0.01","0","Round 1 of UW vs. Cornell Competition","2010-03-30","2010-04-30","0","1"
"24","University of Washington","Seattle","47.6537092442921","-122.306118143559","17","0.01","0","Round 2 of UW vs. Cornell","2010-05-07","2010-05-21","0","1"
"25","Cornell","Ithaca","42.448223","-76.482825","17","0.01","0","Round 2 of UW vs. Cornell","2010-05-07","2010-05-21","0","1"
"26","lima","peru","-12.045929","-77.030608","18","0.01","0",,"2009-01-01","2012-01-01","1","1"
"27","Asilomar Conference Grounds","Pacific Grove","36.619452","-121.937901","19","0.01","0",,"2009-01-01","2012-01-01","1","1"
"28","Carhuas","Peru","-14.21600613564955","-76.16368532180786","18","0.01","0",,"2009-01-01","2012-01-01","1","1"
"41","Barcelona","Spain","41.383892786969774","2.185678482055664","14","0.01","1",,"2010-09-19","2012-09-19","1","1"
"43","Tokyo","Japan","35.607068386828864","139.74334716796875","10","0.01","0",,"2010-09-19","2012-09-19","1","1"
"44","Hakone","Japan","35.21238645459975","139.03464317321777","14","0.01","0",,"2010-09-19","2012-09-19","1","1"
"45","Turvey","UK","52.16302790022819","-0.6262421607971191","17","0.01","0",,"2010-09-20","2012-09-20","1","1"
"46","Northampton","UK","52.23717783671","-0.89487880468368","17","0.01","0",,"2010-09-20","2012-09-20","1","1"
"47","The Canal","Ballard","47.667053393547","-122.40016311407","19","0.01","0",,"2010-09-28","2012-09-28","1","1"
"48","Winterthur","Switzerland","47.50114534916","8.7296120077372","17","0.01","0",,"2010-10-14","2012-10-14","1","1"
"49","UC Berkeley","Berkeley","37.872047","-122.259082","17","0.01","1",,"2010-10-27","2012-01-01","1","1"
"50","Stanford University","Stanford","37.428291","-122.169539","17","0","1",,"2010-10-27","2012-01-01","1","1"
"51","USC","Los Angeles","34.022043","-118.286943","17","0","1",,"2010-10-27","2012-01-01","1","1"
"52","Manchester","Washington","47.553721915852","-122.55316011608","17","0.01","1",,"2010-11-11","2012-11-11","1","1"
"53","Danshuei","Taiwan","25.176230717189","121.43477350473","16","0.01","0",,"2010-11-26","2012-11-26","1","1"
"54","University of Wisconsin-Madison","Madison","43.0752","-89.4039","17","0","0",,"2011-01-24","2013-01-24","1","1"
"55","Bristol","United Kingdom","51.453846455487295","-2.59908199310303","17","0","1",,"0000-00-00","0000-00-00","1","1"
"56","Pike Place","Seattle","47.609495","-122.341779","18","0","0",,"0000-00-00","0000-00-00","1","1"
"57","Moscone Center","San Francisco","37.783964","-122.401786","18","0","0",,"2011-02-22","2011-03-22","1","1"
"58","University of Washington","Seattle","47.6537092442921","-122.306118143559","17","0.01","0","yet another old uw zone","2009-01-01","2012-01-01","1","1"
"59","Asbury Theological Seminary","Wilmore, KY","37.861844","-84.660645","18","0.01","0",,"2011-04-23","2014-04-25","1","1"
